"id";"sritieskodas";"sritis";"forma";"vykdytojas";"projektas";"suma";"nefinansuojamadalis"
"775";"1.16";"biblioteka";"BĮ";"Šiaulių apskrities Povilo Višinskio viešoji biblioteka";"Knyga „Šiaulių krašto padavimai“";"1500.00";"Su leidyba nesusijusių veiklų išlaidos"
"776";"1.2";"tarpsritiniai projektai";"BĮ";"Šiaulių dailės galerija";"Šiuolaikinio meno festivalis ""VIRUS 20""";"7000.00";"Ilgalaikio materialiojo ir nematerialiojo turto įsigijimo išlaidos"
"777";"1.2";"tarpsritiniai projektai";"BĮ";"Šiaulių dailės galerija";"Atvirų paskaitų ciklas MENO ETERIS";"3000.00";"Ilgalaikio materialiojo ir nematerialiojo turto įsigijimo išlaidos"
"778";"1.5";"tarpdisciplininis menas";"BĮ";"Šiaulių dailės galerija";"Medijų meno festivalis ENTER""13";"10000.00";
"779";"1.12";"literatūra";"Asociacija";"Šiaulių krašto kultūros fondas";"Europos literatūros dienos 2015";"10000.00";
"780";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Šiaulių kultūros centras";"Respublikinės moksleivių folklorinių šokių varžytuvės ""Patrepsynė 2015""";"6000.00";
"781";"1.15";"mėgėjų menas";"BĮ";"Šiaulių kultūros centras";"IX tarptautinis šokio festivalis-konkursas ""Aušrinė žvaigždė""";"2000.00";"Užsienio kolektyvams"
"782";"1.2";"tarpsritiniai projektai";"BĮ";"Šiaulių miesto koncertinė įstaiga ""Saulė""";"XVI-XIX amžiaus Lietuvos dvarų muzikos sąsajos su Europos šalimis";"6000.00";
"783";"1.16";"biblioteka";"BĮ";"Šiaulių miesto savivaldybės viešoji biblioteka";"Visuomeninė mokykla bibliotekoje";"1000.00";"Ilgalaikio materialiojo ir nematerialiojo turto įsigijimo išlaidos"
"784";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Šiaulių rajono savivaldybės etninės kultūros ir tradicinių amatų centras";"Tautodailininkų, vaikų ir jaunimo etnokultūros stovykla ""Koks kraštas - toks ir raštas""";"1500.00";"Ilgalaikio materialiojo ir nematerialiojo turto įsigijimo išlaidos"
"785";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Šiaulių rajono savivaldybės etninės kultūros ir tradicinių amatų centras";"Teorinių - praktinių seminarų ciklas ""Kuršėnų krašto keramika"", skirtas regionų metams";"1500.00";"Ilgalaikio materialiojo ir nematerialiojo turto įsigijimo išlaidos"
"786";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Šiaulių rajono savivaldybės kultūros centras";"Vaikų ir jaunimo folkloro festivalis ""XV- osios Jurginės Raudėnuose"", skirtas Etnografinių regionų metams";"2000.00";
"787";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Šiaulių rajono savivaldybės viešoji biblioteka";"Aisiu į kalną: Šiaulių krašto liaudies dainų pateikėjos Mortos Katkienės dainų rinkinys";"3000.00";
"788";"1.15";"mėgėjų menas";"BĮ";"Šiaulių Sauliaus Sondeckio menų gimnazija";"Ketvirtasis tarptautinis Prano Stepulio kamerinių liaudies instrumentinės muzikos ansamblių konkursas-festivalis";"3000.00";
"789";"1.12";"literatūra";"VšĮ";"Šiaulių universitetas";"VIII Respublikinis Laimono Noreikos skaitovų konkursas";"2000.00";
"790";"1.15";"mėgėjų menas";"VšĮ";"Šiaulių universitetas";"Lietuvių tradicinės kultūros pristatymas tarptautinių organizacijų IOV ir FIDAF renginiuose";"5000.00";
"791";"1.19";"kultūros paveldas";"VšĮ";"Šiaulių universitetas";"Senųjų Kelmės ir Pakruojo rajonų kaimo kapinių inventorizacija ir moksliniai tyrimai";"7000.00";
"792";"1.3";"dailė";"VšĮ";"Šiaulių universitetas";"Sofija Riomerienė. Užmiršta. Artimo portretas";"2000.00";
"793";"1.6";"teatras";"VšĮ";"Šiaulių universitetas";"X tarptautinis teatrų festivalis „Po saule“";"3000.00";
"794";"1.2";"dizainas";"UAB";"Sick Service";"Jaunųjų rūbų dizainerių konkursas ""Injekcija"" su finaliniu renginiu nugalėtojams išrinkti";"7000.00";
"795";"1.11";"muzika";"BĮ";"Šilalės rajono savivaldybės kultūros centras";"Devintasis ""Medvėgalio menų festivalis""";"2000.00";
"796";"1.15";"mėgėjų menas";"BĮ";"Šilalės rajono savivaldybės kultūros centras";"Kad neišnyktų kantičkinės giesmė (Tęstinis)";"1800.00";
"797";"1.16";"biblioteka";"BĮ";"Šilalės rajono savivaldybės viešoji biblioteka";"Skaitmeninis edukacinis žaidimas „Skrydis per Šilalę“";"5500.00";
"798";"1.16";"biblioteka";"BĮ";"Šilalės rajono savivaldybės viešoji biblioteka";"Skaityk, atmink, pasmuokavuok!";"2000.00";
"799";"1.16";"biblioteka";"BĮ";"Šilalės rajono savivaldybės viešoji biblioteka";"Šilalės krašto bažnyčios: istorija ir architektūra";"1500.00";"Spaudos darbų išlaidos"
"800";"1.2";"tarpsritiniai projektai";"BĮ";"Šilutės kultūros ir pramogų centras";"Vakarų Lietuvos regiono kultūrinio turizmo kelias Vėtrungių kelias";"5000.00";
"801";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Šilutės muziejus";"Šeštadieninė lietuvinikų tarmės mokyklėlė";"2000.00";
"802";"1.18";"muziejus";"BĮ";"Šilutės muziejus";"Dvarinininko dr. H.Šojaus etnografinės kolekcijos eksponavimas";"10000.00";"Ne ekspozicinės įrangos įsigijimo išlaidos"
"803";"1.19";"kultūros paveldas";"BĮ";"Šilutės muziejus";"Išsaugokime Švėkšnos sinagogą";"8900.00";"Ilgalaikio materialiojo ir nematerialiojo turto įsigijimo išlaidos"
"804";"1.2";"tarpsritiniai projektai";"BĮ";"Šilutės rajono savivaldybės Fridricho Bajoraičio viešoji biblioteka";"Tarptautinis literatūrinis ruduo ""Prisijaukinkim žodį, paukštį, debesį...""";"3800.00";
"805";"1.14";"etninė kultūra ir tautodailė";"VšĮ";"Sintautų akademija";"Sintautai - 2015 (Kryždirbystės tradicijų tąsa senajame Sintautų valsčiuje)";"4200.00";
"806";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Sintautų kultūros centras";"Etnografinių renginių ciklas: ""Mes turime kuo didžiuotis""";"3000.00";
"807";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Širvintų rajono savivaldybės kultūros centras";"Rasos šventė-apeiga Kernavėje ""Rasa Kupolinė""";"4000.00";
"808";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Širvintų rajono savivaldybės kultūros centras";"Regioninis folkloro festivalis ""Suprašė žvirblalis""";"1000.00";
"809";"1.3";"dailė";"VšĮ";"Šiuolaikiniai meno projektai";"Jaunojo tapytojo prizas 2015";"6000.00";
"810";"1.3";"dailė";"VšĮ";"Šiuolaikiniai meno projektai";"Tarptautinio tęstinė šiuolaikinio meno paroda ""Menamos istorijos. (Ne)Riba""";"3000.00";
"811";"1.3";"dailė";"VšĮ";"Šiuolaikiniai meno projektai";"Gintaro Makarevičiaus personalinė paroda";"2500.00";
"812";"1.5";"tarpdisciplininis menas";"BĮ";"Šiuolaikinio meno asociacija";"Tarptautinė kūryba Lietuvos kontekste";"7000.00";
"813";"1.13";"kinas";"BĮ";"Šiuolaikinio meno centras";"ŠMC kino salės programa 2015 metams";"10000.00";
"814";"1.3";"dailė";"BĮ";"Šiuolaikinio meno centras";"Erwin Wurm solo paroda Siauras namas";"10000.00";
"815";"1.3";"dailė";"BĮ";"Šiuolaikinio meno centras";"Larso Bang Larseno kuruojama paroda Pirmasis psichodelikos sinodas";"9000.00";
"816";"1.3";"dailė";"BĮ";"Šiuolaikinio meno centras";"Žilvino Landzbergo solo paroda";"7000.00";
"817";"1.3";"dailė";"BĮ";"Šiuolaikinio meno centras";"Estijos menininkų paroda MEEL.VAHTRA.FARK AS";"6000.00";
"818";"1.3";"dailė";"BĮ";"Šiuolaikinio meno centras";"Emilijos Škarnulytės solo paroda Polimerai";"5000.00";
"819";"1.3";"dailė";"BĮ";"Šiuolaikinio meno centras";"Ninos Beier personalinė paroda";"2000.00";
"820";"1.3";"dailė";"BĮ";"Šiuolaikinio meno centras";"Personalinė Liudviko Buklio paroda";"2000.00";
"821";"1.5";"tarpdisciplininis menas";"BĮ";"Šiuolaikinio meno centras";"Inesos Pavlovskaitės- Brašiškės kuruojama paroda ""How Not To Be Seen/ Kaip nebūti matomu""";"11000.00";
"822";"1.5";"tarpdisciplininis menas";"BĮ";"Šiuolaikinio meno centras";"Žaidėjai: Jerome Bel performansas ""Pichet Klunchun ir aš pats""";"6000.00";
"823";"1.2";"tarpsritiniai projektai";"Asociacija";"Skaitymo ir kultūrinio raštingumo asociacija";"Tarptautinis šiuolaikinės literatūros forumas Šiaurės vasara. Knyga kaip projektas";"4000.00";
"824";"1.13";"kinas";"VšĮ";"Skalvijos kino centras";"Kino klasikos klubas";"7000.00";
"825";"1.13";"kinas";"VšĮ";"Skalvijos kino centras";"Kino režisieriaus Romano Polanskio filmų retrospektyva";"5000.00";
"826";"1.19";"kultūros paveldas";"BĮ";"Skuodo muziejus";"Ekspozicijos ""Skuodo miesto istorinė atmintis"" atnaujinimas ir pritaikymas vaikų ir jaunimo edukacijai";"1600.00";
"827";"1.11";"muzika";"BĮ";"Skuodo rajono kultūros centras";"Profesionalaus meno sklaida Skuodo rajone (II etapas)";"2700.00";
"828";"1.16";"biblioteka";"BĮ";"Skuodo savivaldybės viešoji biblioteka";"Ta tėvų kalba taip širdžiai miela";"1430.00";
"829";"1.16";"biblioteka";"BĮ";"Skuodo savivaldybės viešoji biblioteka";"Renginių ciklas „Kas nušviečia mūsų sielas, tuo privalome dalintis su visais“";"1000.00";
"830";"1.2";"tarpsritiniai projektai";"BĮ";"Skuodo savivaldybės viešoji biblioteka";"Renginių ciklas ""Kultūrų spiečius""";"1900.00";
"831";"1.3";"dailė";"VšĮ";"Socialiniai ir kultūriniai projektai";"Keturių video apybraižų iš tęstinio ciklo ""Menininkų portretai"" kūrimas: ""Skulptorius Gediminas Piekuras"", ""Dailinininkas Aleksandras Vozbinas"", ""Skulptorius Stasys Žirgulis"", Dailininkas Arvydas Šaltenis""";"5000.00";
"832";"1.12";"literatūra";"VšĮ";"Socialinių inovacijų institutas";"Knygos vaikams Senovės lietuvių dievai ir sakmės apie juos leidybinis projektas";"3200.00";
"833";"1.10-";"šokis";"VšĮ";"Šokio teatras ""DANSEMA""";"Šiuolaikinio šokio spektaklių vaikams ""Mozaika"" ir ""Pasaulio sutvėrimas"" pristatymas Kinijoje ir Ukrainoje";"10391.57";
"834";"1.10-";"šokis";"VšĮ";"Šokio teatras ""DANSEMA""";"Šiuolaikinio šokio spektaklių sklaida";"6000.00";
"835";"1.10-";"šokis";"VšĮ";"Šokio teatras AIROS";"Šokio teatro AIROS spektaklių sklaida Lietuvoje";"10000.00";
"836";"1.10-";"šokis";"VšĮ";"Šokio teatras Padi Dapi fish";"Dior in Moscow";"10000.00";
"837";"1.10-";"šokis";"VšĮ";"Šokio teatras Padi Dapi fish";"Tarptautinio šokio spektaklio ""Lucky Lucy"" kūrybinės dirbtuvės";"8000.00";
"838";"1.10-";"šokis";"VšĮ";"Šokio teatras Padi Dapi fish";"Šokio spektaklių ""Paikos mergaitės maldos"", ""W klubas"", ""Dykra"", ""Aikštelėje laisvų vietų nėra"", ""Akvariumai"", ""Baltoji lopšinė"" ir ""VVV+v"" sklaida Lietuvos miestuose ir regionuose";"7000.00";
"839";"1.2";"tarpsritiniai projektai";"VšĮ";"Stalo teatras";"Kultūrinės-socialinės sanglaudos kelias Vilnius - Kaliningradas";"5000.00";
"840";"1.6";"teatras";"VšĮ";"Stalo Teatras";"Spektaklio vaikams pagal japonų pasaką „Gyvatės akys“ pastatymas ir sklaida";"8000.00";
